Prod_ID,Assign_ID,Notes,,,"For linking prod data with assignment tasks (homework, projects, quizzes, exams)"
15,5.00,Teams lecture - started working towards image recognition program,,,
31,4.00,also linked with Assign_ID = 3,,,Prod_ID = the general productive time
32,4.00,also linked with Assign_ID = 3,,,Assign_ID = the ID of the task that the work was going towards
34,1.00,,,,
47,5.00,Teams lecture - working towards image recognition program,,,
49,5.00,Researched HOG and how it works p1,,,
50,5.00,Researched HOG and how it works p2,,,
53,1.00,,,,
53,3.00,,,,
54,5.00,,,,
55,1.00,,,,
56,2.00,,,,
60,1.00,,,,
61,1.00,,,,
62,6.00,,,,
63,6.00,,,,
68,5.00,,,,
70,7.00,,,,
72,8.00,,,,
74,8.00,,,,
78,8.00,,,,
79,8.00,,,,
80,9.00,,,,
84,9.00,,,,
85,9.00,,,,
94,5.00,Covered kNN HOG article p1,,,
98,5.00,Covered kNN HOG article p2,,,
99,5.00,Covered kNN HOG article p3,,,
101,10.00,,,,
103,5.00,,,,
105,3.00,"Studied right before quiz, looked at unimportant questions",,,
106,3.00,Took quiz in lecture,,,
