ID,aID
8,1
12,2
13,2
14,2
20,2
24,3
27,4
28,5
29,4
32,6
33,6
36,4
38,6
39,7
40,7
41,8
43,9
44,10
45,10
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,11
57,12
58,13
59,14
61,15
62,10
63,10
66,16
68,16
69,17
70,17
71,17
72,17
74,18
81,19
82,19
85,19
86,19
87,19
90,20
92,19
93,21
94,21
95,21
96,21
97,21
98,21
99,21
100,21
101,21
102,21
103,22
104,22
105,21
106,21
107,21
108,21
110,23
112,24
115,25
116,26
118,26
119,26
120,25
121,26
122,25
123,27
124,27
125,27
126,27
127,27
128,27
129,27
130,27
131,28
132,29
134,29
135,29
136,29
137,29
138,29
139,29
140,29
141,28
142,28
144,30
145,31
146,31
147,31
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,32
164,33
165,32
166,30
167,30
168,30
169,30
170,30
171,30
172,30
173,34
174,34
175,34
180,34
181,34
182,34
183,34
187,34
188,34
189,34
190,34
191,34
192,35
299,36
302,36
304,37
305,37
306,37
308,38
310,38
311,38
312,38
316,39
318,39
330,38
331,40
339,41
340,36
341,36
347,40
348,42
349,42
357,36
358,36
359,36
360,43
361,43
362,44
363,44
364,44
385,45
387,36
392,36
393,36
410,46
411,46
412,46
413,47
414,48
416,48
417,49
418,49
419,49
420,46
422,48
423,48
424,48
425,48
426,48
427,48
428,48
429,50
430,49
436,50
444,49
445,49
447,50
448,51
453,52
455,48
456,52
457,52
472,52
474,52
475,48
477,52
478,52
479,52
480,48
482,52
484,53
485,51
486,48
488,48
489,52
493,52
494,52
495,52
496,52
497,52
498,52
499,52
510,55
511,52
512,54
513,55
514,55
515,54
516,54
517,54
526,56
527,56
528,56
529,56
530,57
531,57
542,57
543,57
544,57
545,57
546,57
548,57
553,57
554,57
555,57
556,54
557,54
558,58
559,58
560,58
561,58
562,58
563,58
564,59
565,58
566,58
582,60
583,58
585,58
586,58
596,61
615,62
616,62
617,62
618,62
619,62
620,62
622,62
623,62
624,62
625,62
626,62
627,62
628,62
629,62
630,62
631,62
632,62
633,64
647,64
648,64
649,64
650,64
651,64
652,64
653,64
654,64
655,64
656,64
657,64
658,64
659,64
661,65
662,65
663,61
664,61
665,65
666,65
667,64
671,64
672,64
673,64
674,66
675,66
678,61
699,61
705,67
706,67
707,67
711,68
713,67
714,69
717,68
718,68
719,68
720,68
721,68
722,68
723,68
724,68
725,68
726,68
727,68
728,68
729,68
730,68
731,68
732,68
738,70
739,70
745,70
746,70
749,70
750,70
753,71
754,71
758,71
759,71
760,71
761,71
762,72
763,72
764,72
765,73
766,73
767,73
769,75
772,72
773,72
774,72
775,74
776,74
777,72
778,71
780,72
781,71
782,74
783,71
784,74
785,71
789,74
790,74
791,74
792,71
793,74
794,74
795,76
796,74
797,74
798,74
799,75
800,74
801,74
802,74
808,75
809,75
810,75
811,75
812,74
813,77
814,77
815,77
816,77
817,77
818,74
819,74
820,74
821,74
822,74
823,74
824,77
827,74
828,74
832,75
833,74
834,74
835,75
836,75
837,75
838,77
839,77
840,77
841,77
842,77
843,77
1174,78
1210,79
1211,80
1215,81
1219,82
1222,83
1223,80
1235,79
1236,80
1237,79
1238,79
1245,81
1246,81
1247,84
1248,81
1250,85
1251,85
1273,89
1274,89
1276,81
1277,81
1280,87
1281,88
1282,89
1283,89
1288,87
1307,90
1308,90
1309,90
1316,91
1317,92
1318,90
1319,90
1320,90
1321,90
1338,93
1339,93
1340,93
1341,93
1342,93
1348,94
1349,94
1351,95
1356,86
1360,86
1361,96
1362,86
1364,86
1365,86
1366,86
1367,96
1368,96
1369,96
1370,97
1371,97
1378,97
1379,98
1380,99
1381,97
1382,97
1383,97
1384,97
1385,97
1386,97
1387,97
1388,97
1389,97
1390,97
1391,100
1392,100
1395,97
1396,97
1397,97
1398,97
1399,97
1400,97
1406,101
1407,102
1422,103
1423,103
1424,103
1425,103
1426,103
1427,103
1428,103
1429,103
1430,103
1432,104
1433,104
1434,104
1437,105
1440,106
1441,106
1442,106
1443,106
1444,106
1445,106
1448,106
1453,107
1454,107
1459,108
1461,109
1462,110
1466,107
1479,110
1480,111
1481,111
1482,111
1483,112
1491,110
1492,110
1501,113
1502,114
1504,115
1506,115
1507,115
1513,115
1514,116
1515,117
1517,116
1518,116
1519,116
1520,116
1528,117
1529,117
1530,117
1531,117
1532,117
1533,117
1534,117
1535,117
1536,117
1547,117
1550,118
1551,118
1580,119
1581,119
1582,119
1583,119
1584,119
1586,119
1587,119
1588,120
1591,121
1592,121
1594,121
1595,121
1596,121
1597,121
1598,122
1600,122
1601,122
1602,122
1603,122
1604,122
1605,122
1606,121
