aID,Class,Type,Name
123,Crypto,Homework,Homework #1
124,OS,Quiz,Quiz #1
125,Crypto,Quiz,Quiz #1
126,Crypto,Custom_Quiz,Intro custom quiz
127,Teams,Project,Image Recognition Program
128,OS,Custom_Quiz,Week 1 custom quiz
129,Crypto,Custom_Quiz,Week 1.B custom quiz
130,Graph,Custom_Quiz,Week 1 quiz
131,cTheory,Custom_Quiz,Week 1 quiz
132,OS,Project,Project #1
133,cTheory,Quiz,Quiz #1
134,cTheory,Homework,Homework #1
135,Crypto,Custom_Quiz,Week 2 custom quiz
136,Graph,Custom_Quiz,Week 2 custom quiz
137,cTheory,Custom_Quiz,Week 2 custom quiz
138,Crypto,Homework,Homework #2
139,Career,Interview,EPIC - prepare for phone interview
140,Crypto,Quiz,Quiz #2
141,OS,Quiz,Quiz #2
142,cTheory,Quiz,Quiz #1
143,Career,Network,CECS Career Fair Networking
144,Graph,Homework,Homework #1
145,Teams,Documentation,Action Logs
146,Productivity,Project,Task Time Predictor
147,cTheory,Custom_Quiz,Week 3 custom quiz
148,OS,Custom_Quiz,Week 3 custom quiz
149,Crypto,Homework,HW #3
150,OS,Quiz,Quiz #3
151,Graph,Exam,Exam #1
152,Career,Project,Search and get my first cs dev job
153,Teams,Project,Radio Transmission
154,Crypto,Exam,Exam #1
155,Therapy,Project,OCD project
156,cTheory,Quiz,Quiz #3
157,Crypto,Quiz,Quiz #2
158,OS,Quiz,Quiz #4
159,Teams,Documentation,Weekly minutes
160,Teams,Presentation,Exam presentation
161,OS,Project,Project #2
162,cTheory,Quiz,Quiz #3
163,Crypto,Homework,Homework #4
164,Crypto,Quiz,Quiz #4
165,OS,Quiz,Quiz #5
166,OS,Exam,Exam practice exam #1
167,OS,Exam,Exam practice exam #2
168,cTheory,Exam,Exam practice exam
169,Crypto,Homework,Homework #5
