ID,aID
1778,127
1794,126
1795,126
1797,123
1810,127
1812,127
1813,127
1816,123
1816,125
1817,127
1818,123
1819,124
1823,123
1824,123
1825,128
1826,128
1831,127
1833,129
1835,130
1837,130
1841,130
1842,130
1843,131
1847,131
1848,131
1857,127
1862,127
1863,127
1865,132
1867,127
1869,125
1870,125
1874,138
1878,134
1879,134
1880,134
1883,135
1884,136
1885,137
1886,134
1889,138
1892,127
1893,127
1894,139
1896,139
1897,139
1899,139
1903,139
1904,127
1906,139
1907,139
1911,138
1913,127
1915,143
1920,144
1924,140
1925,138
1927,138
1940,146
1941,146
1877,146
1933,144
1934,144
1936,144
1937,144
1938,145
1940,146
1941,146
1943,146
1945,146
1946,132
1956,148
1957,147
1959,147
1960,143
1962,140
1963,140
1965,143
1966,143
1967,144
1968,127
1974,144
1976,144
1978,144
1981,143
1982,127
1985,149
1986,149
1987,151
1988,150
1996,151
1991,152
1997,154
1998,153
1999,145
2000,127
2002,127
2003,145
2006,146
2007,155
2008,149
2009,149
2012,149
2014,151
2022,155
2024,149
2026,149
2027,154
2028,154
2029,154
2031,127
2033,151
2034,151
2035,151
2036,154
2040,127
2042,127
2044,127
2046,146
2048,127
2049,154
2050,154
2051,127
2052,127
2058,158
2059,145
2060,159
2061,155
2062,160
2064,161
2069,146
2070,162
2073,155
2077,155
2080,161
2081,127
2082,127
2083,127
2084,127
2087,127
2089,127
2091,127
2093,127
2094,162
2095,160
2097,160
2098,160
2100,161
2101,164
2102,127
2105,127
2108,165
2114,163
2115,145
2116,159
2117,166
2118,166
2119,166
2120,169
2121,168
2122,168
2125,127
2126,127
2127,127
2128,127
2136,169
2137,167
2138,168
2140,169
2142,169
2145,166
2146,167
2148,146
