ID,Date,Subject,Type,Activity,Start,End,,,,,
1,8/14/2023,Productivity,Chores,Put away laundry,5:20 PM,5:31 PM,,,,,
2,8/14/2023,Sleep Therapy,Data Entry,Sleep Diary,5:34 PM,7:08 PM,,,,,
3,8/14/2023,Productivity,Chores,Buy parking pass,7:16 PM,7:28 PM,,,,,
4,8/14/2023,School,Chores,Email Bursars office,7:29 PM,7:41 PM,,,,,
5,8/14/2023,Health,Plan,Plan hiking trip,7:50 PM,7:59 PM,,,,,
6,8/14/2023,Health,Plan,Research & buy book to Reading,10:00 PM,10:20 PM,,,,,
7,8/29/2023,Tech Comm,Study,Reading syllabus,8:01 PM,8:51 PM,,,,,
8,8/29/2023,Digital Design,Quiz,Pre-class quiz,9:15 PM,9:36 PM,,,,,
9,8/30/2023,Tech Comm,Prep,Put in Notion due dates,11:56 AM,12:09 PM,,,,,
10,8/30/2023,Tech Comm,Reading,Ch 1 Reading,6:03 PM,6:33 PM,,,,,
11,9/2/2023,Sleep Therapy,Data Entry,Sleep Diary,3:01 PM,3:23 PM,,,,,
12,9/2/2023,OP Systems,Lab,Setup Ubuntu,3:28 PM,3:30 PM,,,,,
13,9/2/2023,OP Systems,Lab,Setup GitHub p1,3:30 PM,4:21 PM,,,,,
14,9/2/2023,OP Systems,Lab,Setup AWS p1,4:23 PM,5:20 PM,,,,,
15,9/3/2023,OP Systems,Lab,Setup AWS p2,3:31 PM,4:20 PM,,,,,
16,9/3/2023,CORG,Reading,Reading Ch 2 p1,8:09 PM,9:09 PM,,,,,
17,9/5/2023,CORG,Reading,Reading Ch 2 p2,11:05 AM,12:13 PM,,,,,
18,9/5/2023,CORG,Reading,Reading Ch 2 p3,1:26 PM,1:55 PM,,,,,
19,9/5/2023,CORG,Reading,Reading Ch 2 p4,9:34 PM,10:28 PM,,,,,
20,9/6/2023,OP Systems,Prep,Setup GithHub p2,2:00 PM,2:56 PM,,,,,
21,9/6/2023,Tech Comm,Reading,Reading Ch 5 p1,2:57 PM,3:52 PM,,,,,
22,9/6/2023,Digital Design,Prep,Download Book,9:41 PM,10:34 PM,,,,,
23,9/6/2023,CORG,Homework,Ch 2 exercises p1,9:50 PM,10:34 PM,,,,,
24,9/7/2023,OP Systems,Quiz,Quiz 01,11:03 AM,11:11 AM,,,,,
25,9/7/2023,CORG,Homework,Ch 2 exercises p2,11:13 AM,11:20 AM,,,,,
26,9/7/2023,Tech Comm,Homework,Book Assignment,11:22 AM,11:25 AM,,,,,
27,9/7/2023,Digital Design,Lab,Download + Review Lab,11:35 AM,1:18 PM,,,,,
28,9/8/2023,CORG,Quiz,Quiz 1,2:06 PM,2:10 PM,,,,,
29,9/8/2023,Digital Design,Lab,Lab 01 p1,5:59 PM,6:54 PM,,,,,
30,9/8/2023,OP Systems,Reading,Reading week 1 & 2 slides p1,9:24 PM,10:21 PM,,,,,
31,9/9/2023,OP Systems,Reading,Reading week 1 & 2 slides p2,6:33 PM,7:07 PM,,,,,
32,9/9/2023,OP Systems,Lab,Lab #2 p1,7:10 PM,9:18 PM,,,,,
33,9/9/2023,OP Systems,Lab,Lab #2 p2,12:40 PM,2:09 PM,,,,,
34,9/9/2023,Digital Design,Prep,Get ZyBooks free trial,2:12 PM,2:16 PM,,,,,
35,9/11/2023,Tech Comm,Homework,Mechanism Desc Topic,4:04 PM,4:37 PM,,,,,
36,9/11/2023,Digital Design,Lab,Lab 01 p2,7:42 PM,8:21 PM,,,,,
37,9/11/2023,Therapy,Homework,Weekly journal,8:23 PM,10:16 PM,,,,,
38,9/12/2023,OP Systems,Lab,Lab #2 p3,11:11 AM,11:59 AM,,,,,
39,9/12/2023,Digital Design,Lab,Lab #2 p1,12:00 PM,12:19 PM,,,,,
40,9/13/2023,Digital Design,Lab,Lab #2 p2,5:44 PM,9:17 PM,,,,,
41,9/14/2023,OP Systems,Quiz,Quiz #2,11:19 PM,11:38 PM,,,,,
