ID,Date,Subject,Type,Activity,Start,End,Location,Energy,Emotions,iProgress,fProgress,Time,Notes,
1,2025-01-13,Life,Errand,Take mom to work and come home,9:05 AM,9:45 AM,,,,0,100,40.00,,
2,2025-01-13,Productivity,Data Entry,Enter prod + goal data and update comprehensive time data file,9:53 AM,10:18 AM,,,,0,100,25.00,,
3,2025-01-13,Life,Eat,Ate snack,10:18 AM,10:29 AM,,,,0,100,11.00,,
4,2025-01-13,School,Organize,Input due dates into classwork,10:31 AM,11:13 AM,,,,0,100,42.00,,
5,2025-01-13,OS,Lecture,Attend lecture w1d1,11:15 AM,12:05 PM,,,,0,100,50.00,,
6,2025-01-13,Life,Eat,Eat lunch,12:09 PM,12:26 PM,,,,0,100,17.00,,
7,2025-01-13,Productivity,Plan,Add goal + freetime info to weekly plan p1,12:28 PM,12:40 PM,,,,0,25,12.00,,
8,2025-01-13,Productivity,Data Entry,Enter prod data,2:35 PM,2:38 PM,,,,0,100,3.00,,
9,2025-01-13,Productivity,Plan,Add goal + freetime info to weekly plan p2,3:24 PM,3:48 PM,,,,25,100,24.00,,
10,2025-01-13,Teams,Project,Image recognition project p1,3:54 PM,4:23 PM,,,,0,1,29.00,,
11,2025-01-13,Life,Errand,"Get car, pay for fixes, eat dinner, go home with mom",4:23 PM,6:48 PM,,,,0,100,145.00,,
12,2025-01-13,Productivity,Data Entry,Enter data,6:51 PM,6:54 PM,,,,0,100,3.00,,
13,2025-01-13,Life,Chore,Clean dishes,7:13 PM,7:55 PM,,,,0,100,42.00,,
14,2025-01-13,Teams,Project,Image recognition project p2,8:33 PM,9:25 PM,,,,1,1.2,52.00,,
15,2025-01-14,Teams,Lecture,Attended lecture w1d1,8:10 AM,9:15 AM,,,,0,100,65.00,,
16,2025-01-14,Productivity,Data Entry,Enter data + redeem reward system points,9:55 AM,10:08 AM,,,,0,100,13.00,Enter rest of 1/13 data + redeem points for reward system,
17,2025-01-14,Life,Chore,Fix airtag p1,10:10 AM,10:33 AM,,,,0,33,23.00,,
18,2025-01-14,Life,Eat,Eat snack + YouTube,10:37 AM,10:54 AM,,,,0,100,17.00,,
19,2025-01-14,Teams,Homework,Update action log + download stuff,10:56 AM,11:10 AM,,,,0,100,14.00,,
20,2025-01-14,cTheory,Prep,Download and organize stuff,11:11 AM,11:26 AM,,,,0,100,15.00,,
21,2025-01-14,Crypto,Prep,Read syllabus,11:26 AM,11:33 AM,,,,0,100,7.00,,
22,2025-01-14,cTheory,Prep,Read syllabus,11:33 AM,11:49 AM,,,,0,100,16.00,,
23,2025-01-14,Teams,Prep,Read syllabus,11:49 AM,11:57 AM,,,,0,100,8.00,,
24,2025-01-14,Crypto,Prep,Read syllabus,11:57 AM,12:02 PM,,,,0,100,5.00,,
25,2025-01-14,School,Organize,Update google calendar location + office hours,12:03 PM,12:20 PM,,,,0,100,17.00,,
26,2025-01-14,Crypto,Lecture,Attend lecture w1d1,12:32 PM,1:49 PM,,,,0,100,77.00,,
27,2025-01-14,Life,Eat,Eat snack + YouTube,2:10 PM,2:40 PM,,,,0,100,30.00,,
28,2025-01-14,Productivity,Data Entry,Enter productivity and lecture data,2:58 PM,3:11 PM,,,,0,100,13.00,10 entries,
29,2025-01-14,Life,Plan,Organize bday wishlist,3:12 PM,3:36 PM,,,,0,100,24.00,,
30,2025-01-14,Career,Plan,Update Notion + google calendar: Tau Beta Pi,3:37 PM,3:42 PM,,,,0,100,5.00,,
31,2025-01-14,Crypto,Study,Create custom quiz #1  (W1L1),3:44 PM,4:05 PM,,,,0,100,21.00,,
32,2025-01-14,Crypto,Study,Complete custom quiz #1 (W1L1),4:05 PM,4:39 PM,,,,50,100,34.00,,
33,2025-01-14,Productivity,Data Entry,Enter final data + redeem reward points,4:43 PM,4:51 PM,,,,0,100,8.00,5 entries,
34,2025-01-14,Crypto,Homework,HW #1 p1,4:58 PM,6:07 PM,,,,0,20,69.00,,
35,2025-01-14,Graphs,Lecture,Attend lecture w1d1,6:30 PM,8:20 PM,,,,0,100,110.00,,
36,2025-01-15,Life,Chore,Clear driveway of snow,7:50 AM,8:11 AM,,,,0,100,21.00,,
37,2025-01-15,Productivity,Plan,Plan day p1,9:58 AM,10:06 AM,,,,0,33,8.00,,
38,2025-01-15,Productivity,Plan,Plan day p2,10:18 AM,10:30 AM,,,,33,100,12.00,,
39,2025-01-15,Life,Chore,Chore block,10:30 AM,11:20 AM,,,,0,100,50.00,,
40,2025-01-15,OS,Lecture,Attend lecture w1d2,11:20 AM,12:02 PM,,,,0,100,42.00,,
41,2025-01-15,Life,Eat,Make + eat lunch + clean dishes,12:09 PM,12:56 PM,,,,0,100,47.00,,
42,2025-01-15,Productivity,Data Entry,"Enter productive + lecture data, redeem points",12:57 PM,1:14 PM,,,,0,100,17.00,7 entries,
43,2025-01-15,Productivity,Project,Redo productivity data schema and timesheet forms,1:29 PM,4:00 PM,,,,0,100,151.00,,
44,2025-01-15,cTheory,Prep,Get ctheory textbook,4:04 PM,4:10 PM,,,,0,100,6.00,,
45,2025-01-15,cTheory,Lecture,W1D1 lecture,4:40 PM,6:24 PM,,,,0,100,104.00,,
46,2025-01-15,Finance,Homework,NFCU Credit card research + application,9:04 PM,9:28 PM,,,,0,100,24.00,,
47,2025-01-16,Teams,Lecture,W1D2 lecture,8:00 AM,9:15 AM,,,,0,100,75.00,,
48,2025-01-16,Productivity,Data Entry,Enter lecture data + redeem points,9:47 AM,10:02 AM,,,,0,100,15.00,,
49,2025-01-16,Teams,Project,Image recognition project p3.A,10:06 AM,12:01 PM,,,,1.2,2,115.00,,
50,2025-01-16,Teams,Project,Image recognition project p3.B,12:13 PM,12:30 PM,,,,2,2.1,17.00,,
51,2025-01-16,Crypto,Lecture,W1D2 lecture,12:30 PM,1:50 PM,,,,0,100,80.00,,
52,2025-01-16,Productivity,Data Entry,Data entry,3:15 PM,3:45 PM,,,,0,100,30.00,,
53,2025-01-16,Crypto,Study,Office hours prep,3:44 PM,4:27 PM,,,,0,100,43.00,,
54,2025-01-16,Teams,Project,Image recognition project p4,4:28 PM,5:45 PM,,,,2.1,2.15,77.00,,
55,2025-01-16,Crypto,Homework,HW #1 p2,6:09 PM,6:27 PM,,,,20,30,18.00,,
56,2025-01-17,OS,Quiz,Quiz #1,9:14 AM,9:20 AM,,,,0,100,6.00,,
57,2025-01-17,Productivity,Data Entry,Data entry,9:29 AM,9:46 AM,,,,0,70,17.00,,
58,2025-01-17,Productivity,Data Entry,Data entry,9:52 AM,10:10 AM,,,,70,100,18.00,,
59,2025-01-16,Graphs,Lecture,W1D2 lecture,6:30 PM,8:20 PM,,,,0,100,110.00,,
60,2025-01-17,Crypto,Homework,HW #1 p2.B,10:29 AM,11:15 AM,,,,30,70,46.00,,
61,2025-01-17,Crypto,Homework,HW #1 p3,12:24 PM,1:33 PM,,,,70,100,69.00,,
62,2025-01-17,OS,Study,Prepare W1D2 + W1D3 custom quiz,1:35 PM,1:46 PM,,,,0,100,11.00,,
63,2025-01-17,OS,Study,"Take custom quiz W1D1, W1D2, W1D3",3:09 PM,4:52 PM,,,,0,100,103.00,,
64,2025-01-17,Life,Chore,Clean dishes,8:50 PM,10:04 PM,,,,0,100,74.00,,
65,2025-01-17,Productivity,Data Entry,Enter data,10:15 PM,10:44 PM,,,,0,100,29.00,,
66,2025-01-17,OS,Lecture,W1D3 Lecture,11:15 AM,12:02 PM,"Home, room",m,"motivated, tired",0,100,47.00,,
67,2025-01-18,Life,Exercise,Workout with dad,10:05 AM,10:58 AM,"Home, attic",m,"dread, proud",0,100,53.00,,
68,2025-01-18,Teams,Project,Image recog p5,11:48 AM,1:36 PM,"Coffee Shop, Starbucks",h,"restless, excited",2.15,2.5,108.00,,
69,2025-01-18,Life,Social,Jessica phone call,2:30 PM,3:09 PM,"Home, living room",m,"dread, playful",0,100,39.00,,
70,2025-01-18,Crypto,Study,Custom Quiz #2 - creation + take quiz,5:33 PM,7:02 PM,"Home, room",l,"dissapointed, critical",0,100,89.00,,
