ID,Comprehension,Focus,cDifficulty,Motivation,Concepts,Notes
1768,4.00,4,1,3,"syllabus, OS intro",
1773,1.00,1,4,3,"opencv, github",
1777,2.00,2,4,3,"opencv, hog, image feature extraction, python, machine learning, nearest centroid classifier, circle classification",
1778,3.00,2,1,1,"syllabus, project management, image recognition program, software management",
1782,5.00,2,1,5,"project management, documentation",
1783,4.00,2,1,2,syllabus,
1784,4.00,2,1,2,syllabus,
1785,4.00,2,1,2,syllabus,
1786,4.00,2,1,2,syllabus,
1789,5.00,4,2,2,"syllabus, encryption, decryption, cipher, substitution cipher, passive attack, active attack, cryptanalysis, cryptology, cryptography, moore's law",
1794,4.00,4,3.5,5,"encryption, decryption, cipher, passive attack, active attack, cryptanalaysis, cryptology, cryptography",
1795,3.00,3,3.5,3.5,"encryption, decryption, cipher, passive attack, active attack, cryptanalaysis, cryptology, cryptography",
1797,2.50,3,3.5,3,"moore's law, modular arithmetic",
1798,3.50,3,3.5,2,"syllabus, additive set property, multiplication set property, factorial, permutations",
1803,3.00,2.5,2,2,"design principles, mechanism, policy, kernels, OS structure, user mode, kernel mode, protections",
1808,2.00,2,3,1,"finite automata, regular languages, finite state machine",
1810,2.00,2,4,4,"image recognition, project logistics, task assignment, hough circle transform, histogram of oriented gradients, opencv",Created some additional deathstar images using generative ai for additional testing
1812,3.50,4,3,5,histogram of oriented gradients,
1813,2.00,2,3,3,histogram of oriented gradients,
1814,3.00,1.5,2,2,"modular arithmetic, affine cipher, shift cipher, integer rings",
1816,3.00,1,2,2,moore's law,
1817,4.00,3,3,4,"histogram of oriented gradients, kernels, convolution, virtual environment, skikit-learn",
1818,3.50,2.5,2,3,modular arithmetic,
1819,4.50,3,2,4,"OS, mechanisms, policies, OS user desires, assembly pros and cons",
1822,2.00,1,4,2,"combinations, circular permutations, pacal's identity, binomial coefficient",
1823,4.00,3,2,3,"modular arithmetic, moore's law, affine cipher",Looked over my work and realized I made a lot of mistakes
1824,2.00,2,2,3,"modular arithmetic, moore's law, affine cipher",Finished up the assignment
1825,4.00,3,2,4,"bootloader, motherboard, MBR, SSD, HDD, kernel",Felt more motivated because I was finally prepping another custom quiz
1826,4.00,3,2,4,"bootloader, motherboard, MBR, SSD, HDD, kernel","Actually completed another custom quiz, it was like 60 questions"
1829,3.00,2.5,3,3.5,"bootloader, motherboard, MBR, SSD, HDD, kernel",
1831,4.00,4,2.5,4,"test plan, kNN, nearest centroid classification",
1833,4.00,1.5,2.5,3,"integer rings, euler phi, affine cipher, closed set",
1835,2.00,2,4.5,4,"permutations, combinations, pascals identity, circular permutations, binomial coefficient",
1837,2.00,3,4.5,4,"permutations, combinations, pascals identity, circular permutations, binomial coefficient",
1839,1.50,2.5,4.5,3,"permutations, combinations, pascals identity, circular permutations, binomial coefficient",
1841,2.00,2,4.5,2,"permutations, combinations, pascals identity, circular permutations, binomial coefficient",
1842,3.00,1,4.5,2,"permutations, combinations, pascals identity, circular permutations, binomial coefficient",
1843,4.50,3.5,2,3,"FSM, finite automaton, machine language, deterministic finite automaton, nondeterministic finite automaton",
1847,7.00,3,2,3,"FSM, finite automaton, sets",Finished most Qs
1848,7.00,2,3,1.5,"FSM, finite automaton, sets",Finished last Q
1857,7.00,4,4,4,"HOG, kNN, image recognition",reviewed kNN + Hog logo classification p1
1862,9.00,4.5,4,5,"HOG, kNN, image recognition",reviewed kNN + Hog logo classification p2
1863,8.00,1.5,4,2.5,"HOG, kNN, image recognition",reviewed kNN + Hog logo classification p3
1865,7.00,3,2,4,"OS Installation, image.iso, wsl, ubuntu",Setup OS software for proj 1
1866,7.50,3,1.5,2.5,"DFA, NFA, trap/dead states, inverting FSMs","took quiz, a lot of questions were not covered in lecture, probably came from the book"
1867,9.50,3.5,2,4,"Training data vs Testing data, HOG, kNN","reformatted Github repository, downloaded non-death star images, researched test vs training datasets"
1868,9.00,2.5,2,3.5,"HOG, kNN",
1869,7.00,1.5,1.5,2,moore's law,
1870,6.00,1,2,3,"block cipher, stream cipher",Had lecture and took quiz last 20 mins of lecture. The questions were over the alphine cipher and modular arithmetic. Both questions were pulled directly from the book. Wished I studied a little bit more.
1876,3.00,1,2,1,"OS coding, bootloader, kernel","Was not able to pay attention at all, lecture was just spent going over project 1 and how to set up everything"
1878,5.00,2.5,1,2,"DFA, inverting FSMs",
1879,4.00,2,2,2,"DFA, inverting FSMs",
1880,3.50,2,2.5,2,"DFA, inverting FSMs",
1883,4.00,4,2,4,"RNG, block cipher, stream cipher",
1884,2.50,3,4,2,"circular permutations, multisets, combinations",
1885,4.00,2.5,2,2,"DFA, NFA, trap/dead states, inverting FSMs",
1889,3.50,1.5,3,3,stream cipher,
1892,6.00,4,3,9,"HOG, kNN, image recognition",Started working but had to go to the bathroom
1893,6.00,4,3,9,"HOG, kNN, image recognition","Wrote up image recognition code, got it working, and it's 100% accurate so far"
1895,7.00,3,2,4,"HAL, protected mode, real mode, BIOS interrupts, assembly, kernel",Close to finishing ch3 slides
1898,3.00,1.5,1,4,"test plan, kNN, HOG, github","Couldn't think very well, just another work day, stressed"
1900,4.00,1.5,3.5,1.5,"stream cipher, primitive polynomial","Could not pay attention to save my life, was about to fall asleep"
1904,2.50,3,4,4,"HOG, kNN, image recognition, data augmentation",
1905,1.00,1,4.5,1,"pigeon hole principle, multiset permutation, multiset combination, multiset",
1908,2.00,1,1,1,,
1911,7.00,2,3,3,,
1912,2.00,2,2,8,,
1913,4.00,4,3,4,,
1914,7.00,2,2,2,,
